id,nickname,job,combat_power,magic_resistance,life_energy,charm,intro,levels,daily_checks,weekly_checks,raid_checks,created_at,updated_at,trade_checks,contribution,is_main,owner,sort_order,alias,rankings,last_active_at
417,뉴월,격투가,99680,4484,12180,23487,,"{""궁수"":2,""사제"":1,""전사"":2,""힐러"":1,""격투가"":65,""빙결술사"":1,""암흑술사"":2,""음유시인"":1}",[],"{""normal"":[7,8],""repeat"":{""9902"":[true,true,true],""검은 구멍"":[false,false,false,false,false,false,false],""뱅가드 브리치"":[false,false,false],""불길한 소환의 결계"":[false,false,false,false,false,false,false]}}","[4,5]",2026-08-11 05:31:32.153475+00,2026-09-18 14:02:25.219+00,{},31600,true,뉴월,5,,"{""TELOS"":{""deian"":26946,""overall"":184309},""KRATOS"":{""deian"":11830,""overall"":79391},""TECHNE"":{""deian"":114910,""overall"":780580},""HARMONIA"":{""deian"":36891,""overall"":254394}}",2026-08-26 05:45:02.219195+00
423,주십쇼,궁수,86780,2548,30142,18934,,"{""궁수"":65,""힐러"":65,""장궁병"":59,""석궁사수"":65}",[],"{""normal"":[],""repeat"":{""9901"":[true,true,true,true,true,false,false],""9902"":[true,true,true],""검은 구멍"":[false,false,false,false,false,false,false],""뱅가드 브리치"":[false,false,false],""불길한 소환의 결계"":[false,false,false,false,false,false,false]}}","[4,5,6,8,9,10]",2026-08-11 05:53:29.83762+00,2026-09-17 13:57:25.748+00,{},52607,false,오십쇼,1,귱신,"{""TELOS"":{""deian"":26585,""overall"":181782},""KRATOS"":{""deian"":29152,""overall"":200731},""TECHNE"":{""deian"":14398,""overall"":94273},""HARMONIA"":{""deian"":56510,""overall"":391526}}",2026-08-26 05:45:02.219195+00
424,오십쇼,빙결술사,111260,7200,34516,51842,,"{""궁수"":55,""기사"":65,""댄서"":50,""도적"":50,""사제"":65,""악사"":50,""전사"":65,""힐러"":60,""검술사"":65,""격투가"":50,""마법사"":60,""수도사"":50,""장궁병"":50,""대검전사"":50,""빙결술사"":65,""석궁사수"":50,""암흑술사"":65,""음유시인"":50,""전격술사"":65,""화염술사"":65,""듀얼블레이드"":51}",[],"{""normal"":[6,7,8,19],""repeat"":{""9902"":[true,true,true],""검은 구멍"":[false,false,false,false,false,false,false],""뱅가드 브리치"":[false,false,false],""불길한 소환의 결계"":[false,false,false,false,false,false,false]}}","[4,5,6,8,9,10]",2026-08-11 05:54:08.448457+00,2026-09-17 13:57:18.981+00,"{""1"":{""count"":2,""completed_by"":""오십쇼""}}",52607,true,오십쇼,0,빙신,"{""TELOS"":{""deian"":1688,""overall"":10423},""KRATOS"":{""deian"":2940,""overall"":19132},""TECHNE"":{""deian"":5399,""overall"":36264},""HARMONIA"":{""deian"":1551,""overall"":9594}}",2026-08-26 05:45:02.219195+00
1126,ynara,악사,107736,0,28724,45384,,{},[],"{""normal"":[],""repeat"":{""검은 구멍"":[false,false,false,false,false,false,false],""뱅가드 브리치"":[false,false,false],""불길한 소환의 결계"":[false,false,false,false,false,false,false]}}",[],2026-08-17 15:06:19.787553+00,2026-09-17 13:57:05.088+00,{},0,true,ynara,0,,"{""TELOS"":{""deian"":4947,""overall"":32748},""KRATOS"":{""deian"":4569,""overall"":30481},""TECHNE"":{""deian"":18339,""overall"":121040},""HARMONIA"":{""deian"":6888,""overall"":44967}}",2026-08-26 05:45:02.219195+00
1334,우찬아,빙결술사,97552,0,9459,39224,,"{""궁수"":61,""기사"":50,""댄서"":50,""도적"":65,""사제"":31,""악사"":50,""전사"":65,""힐러"":50,""검술사"":50,""격투가"":50,""마법사"":65,""수도사"":65,""장궁병"":50,""대검전사"":54,""빙결술사"":65,""석궁사수"":50,""암흑술사"":50,""음유시인"":51,""전격술사"":50,""화염술사"":50,""듀얼블레이드"":50}",[],"{""normal"":[],""repeat"":{""검은 구멍"":[false,false,false,false,false,false,false],""뱅가드 브리치"":[false,false,false],""불길한 소환의 결계"":[false,false,false,false,false,false,false]}}",[],2026-08-20 23:15:46.728358+00,2026-09-17 13:57:19.448+00,{},0,false,우찬아,0,,"{""TELOS"":{""deian"":19298,""overall"":131501},""KRATOS"":{""deian"":14669,""overall"":98836},""TECHNE"":{""deian"":158406,""overall"":1065618},""HARMONIA"":{""deian"":14666,""overall"":97543}}",2026-08-26 05:45:02.219195+00
1658,Hideonbush,화염술사,95424,0,24236,24862,,{},[],"{""normal"":[],""repeat"":{""검은 구멍"":[false,false,false,false,false,false,false],""뱅가드 브리치"":[false,false,false],""불길한 소환의 결계"":[false,false,false,false,false,false,false]}}",[],2026-08-23 10:50:04.127584+00,2026-09-17 13:57:02.402+00,{},0,false,ynara,1,,"{""TELOS"":{""deian"":20384,""overall"":139394},""KRATOS"":{""deian"":18020,""overall"":121910},""TECHNE"":{""deian"":33642,""overall"":228266},""HARMONIA"":{""deian"":32914,""overall"":226238}}",2026-08-26 05:45:02.219195+00
1669,Keria,궁수,88669,,25453,21780,,,[],"{""normal"":[],""repeat"":{""검은 구멍"":[false,false,false,false,false,false,false],""뱅가드 브리치"":[false,false,false],""불길한 소환의 결계"":[false,false,false,false,false,false,false]}}",[],2026-08-23 10:50:32.160872+00,2026-09-17 13:57:03.76+00,{},0,false,ynara,2,,"{""TELOS"":{""deian"":26554,""overall"":181572},""KRATOS"":{""deian"":27234,""overall"":186699},""TECHNE"":{""deian"":28985,""overall"":195914},""HARMONIA"":{""deian"":43060,""overall"":296438}}",2026-08-26 05:45:02.219195+00
1670,새벽별l,힐러,77101,0,25855,17175,,{},[],"{""normal"":[],""repeat"":{""검은 구멍"":[false,false,false,false,false,false,false],""뱅가드 브리치"":[false,false,false],""불길한 소환의 결계"":[false,false,false,false,false,false,false]}}",[],2026-08-23 10:50:58.982615+00,2026-09-17 13:57:13.603+00,{},0,false,ynara,3,,"{""TELOS"":{""deian"":37679,""overall"":258885},""KRATOS"":{""deian"":37318,""overall"":259983},""TECHNE"":{""deian"":27556,""overall"":185937},""HARMONIA"":{""deian"":67957,""overall"":470425}}",2026-08-26 05:45:02.219195+00
3323,이얼굴이안보이니내놓으쇼,수도사,27208,0,28767,9223,,{},[],"{""normal"":[],""repeat"":{""검은 구멍"":[false,false,false,false,false,false,false],""뱅가드 브리치"":[false,false,false],""불길한 소환의 결계"":[false,false,false,false,false,false,false]}}",[],2026-09-07 06:20:06.98714+00,2026-09-17 13:57:20.396+00,"{""1"":{""count"":2,""completed_by"":null}}",52607,false,오십쇼,2,도신,"{""TELOS"":{""deian"":89094,""overall"":632530},""KRATOS"":{""deian"":116276,""overall"":841250},""TECHNE"":{""deian"":18197,""overall"":120161},""HARMONIA"":{""deian"":168624,""overall"":1181835}}",2026-09-07 06:20:06.98714+00
3324,타이틀내놓으시오,격투가,6066,0,28735,7523,,{},[],"{""normal"":[],""repeat"":{""검은 구멍"":[false,false,false,false,false,false,false],""뱅가드 브리치"":[false,false,false],""불길한 소환의 결계"":[false,false,false,false,false,false,false]}}",[],2026-09-07 06:20:07.198855+00,2026-09-17 13:57:28.836+00,"{""1"":{""count"":2,""completed_by"":null}}",52607,false,오십쇼,3,무신,"{""TELOS"":{""deian"":142737,""overall"":999686},""KRATOS"":{""deian"":251404,""overall"":1877861},""TECHNE"":{""deian"":18299,""overall"":120803},""HARMONIA"":{""deian"":206043,""overall"":1474662}}",2026-09-07 06:20:07.198855+00
3325,자십쇼,전격술사,5988,0,28596,7659,,{},[],"{""normal"":[],""repeat"":{""검은 구멍"":[false,false,false,false,false,false,false],""뱅가드 브리치"":[false,false,false],""불길한 소환의 결계"":[false,false,false,false,false,false,false]}}",[],2026-09-07 06:20:07.423429+00,2026-09-17 13:57:21.693+00,"{""1"":{""count"":2,""completed_by"":null}}",52607,false,오십쇼,4,뇌신,"{""TELOS"":{""deian"":143017,""overall"":1001602},""KRATOS"":{""deian"":252374,""overall"":1886658},""TECHNE"":{""deian"":18714,""overall"":123622},""HARMONIA"":{""deian"":203163,""overall"":1450285}}",2026-09-07 06:20:07.423429+00
3326,가십쇼,암흑술사,7180,0,28628,7509,,{},[],"{""normal"":[],""repeat"":{""검은 구멍"":[false,false,false,false,false,false,false],""뱅가드 브리치"":[false,false,false],""불길한 소환의 결계"":[false,false,false,false,false,false,false]}}",[],2026-09-07 06:20:07.64104+00,2026-09-17 13:57:06.366+00,"{""1"":{""count"":2,""completed_by"":null}}",52607,false,오십쇼,5,주신,"{""TELOS"":{""deian"":139571,""overall"":977402},""KRATOS"":{""deian"":241330,""overall"":1784189},""TECHNE"":{""deian"":18622,""overall"":123000},""HARMONIA"":{""deian"":206237,""overall"":1476048}}",2026-09-07 06:20:07.64104+00
